i	mean	lower	upper	substrate	dt
1	1	1	1	500pacol	5
2	0.0988014165705876	0.0751351169579215	0.122467716183254	500pacol	10
3	0.0708560427019239	0.0465551219410189	0.0951569634628289	500pacol	15
4	0.0748886424827773	0.0504281856103298	0.0993490993552247	500pacol	20
5	0.0884157368110249	0.0629516066158118	0.113879867006238	500pacol	25
6	0.091291594780251	0.0647652814428192	0.117817908117683	500pacol	30
7	0.143323934797586	0.116988758635046	0.169659110960125	500pacol	35
8	0.13597258495042	0.108614461600638	0.163330708300201	500pacol	40
9	0.0999979968827223	0.0715107950184906	0.128485198746954	500pacol	45
10	0.0768489818025892	0.0468035950147258	0.106894368590453	500pacol	50
11	0.119947439983857	0.0888340454512143	0.1510608345165	500pacol	55
12	0.114218019724927	0.0820274127827754	0.146408626667078	500pacol	60
13	0.0823443991657511	0.0496420494896123	0.11504674884189	500pacol	65
14	0.182390084347512	0.148995831602955	0.215784337092069	500pacol	70
15	0.0871384536385818	0.0506806188929044	0.123596288384259	500pacol	75
16	0.0367888056960289	-0.000227628507250624	0.0738052398993085	500pacol	80
17	0.0977012331059864	0.0570354327700332	0.13836703344194	500pacol	85
18	0.133145543746809	0.0888977504685222	0.177393337025095	500pacol	90
19	0.0832491460800849	0.037169183032998	0.129329109127172	500pacol	95
20	0.0420656049883874	-0.0102583324536921	0.094389542430467	500pacol	100
21	0.0458200493445845	-0.0102163572895187	0.101856455978688	500pacol	105
22	0.135861083425013	0.0726883645248996	0.199033802325127	500pacol	110
23	-0.0101620031454171	-0.0869469807640576	0.0666229744732234	500pacol	115
24	0.224753177468024	0.119049553556055	0.330456801379993	500pacol	120
1	1	1	1	500pafn	5
2	0.13317386794687	0.112438101396509	0.153909634497231	500pafn	10
3	0.154350624600944	0.133260180715447	0.175441068486441	500pafn	15
4	0.185839952375467	0.164775010632037	0.206904894118898	500pafn	20
5	0.152742315791618	0.130633940178676	0.17485069140456	500pafn	25
6	0.198614632381277	0.176605211751335	0.22062405301122	500pafn	30
7	0.17438123682876	0.151692766229254	0.197069707428265	500pafn	35
8	0.128448071076289	0.104132257678659	0.15276388447392	500pafn	40
9	0.170954404646827	0.146283062779238	0.195625746514415	500pafn	45
10	0.162347035441244	0.137533187716741	0.187160883165746	500pafn	50
11	0.172807612340081	0.146949627646784	0.198665597033378	500pafn	55
12	0.120023568664189	0.0935493748278588	0.14649776250052	500pafn	60
13	0.153788484650188	0.125671587175277	0.181905382125099	500pafn	65
14	0.188798048930406	0.159839361584749	0.217756736276064	500pafn	70
15	0.153212056022496	0.122889608014244	0.183534504030747	500pafn	75
16	0.120311515402798	0.0884664757989126	0.152156555006684	500pafn	80
17	0.0968561140658119	0.0617827193497317	0.131929508781892	500pafn	85
18	0.101454886900334	0.0642098163873517	0.138699957413317	500pafn	90
19	0.181485371322486	0.143551425683269	0.219419316961702	500pafn	95
20	0.109067154021825	0.0655199194604552	0.152614388583195	500pafn	100
21	0.139014419667051	0.089100929028821	0.188927910305281	500pafn	105
22	0.10583457123526	0.0503170056121457	0.161352136858375	500pafn	110
23	0.071756632700815	0.00675852214265334	0.136754743258977	500pafn	115
24	0.179942475004287	0.079263596320224	0.280621353688349	500pafn	120
1	1	1	1	30kpacol	5
2	-0.0856139980607444	-0.113880964104765	-0.0573470320167237	30kpacol	10
3	-0.0964658277048687	-0.124411796648106	-0.0685198587616311	30kpacol	15
4	-0.0815960909259446	-0.109711688646059	-0.0534804932058299	30kpacol	20
5	0.0330963334680716	0.00449423511484576	0.0616984318212974	30kpacol	25
6	-0.0188336970456555	-0.049131677394475	0.011464283303164	30kpacol	30
7	-0.0108746716526732	-0.040803712550177	0.0190543692448306	30kpacol	35
8	-0.0197201971435593	-0.0507566568196206	0.011316262532502	30kpacol	40
9	-0.0414520553042726	-0.0737634104533583	-0.00914070015518677	30kpacol	45
10	-0.0228136040312456	-0.0555905285618443	0.00996332049935304	30kpacol	50
11	-0.05263233886678	-0.0867748411513392	-0.0184898365822208	30kpacol	55
12	-0.0172614080752301	-0.0531844197680439	0.0186616036175837	30kpacol	60
13	-0.104539269170487	-0.142587756840333	-0.0664907815006411	30kpacol	65
14	-0.0121353203619407	-0.0507686099846139	0.0264979692607324	30kpacol	70
15	-0.0113537313254043	-0.0537721803719891	0.0310647177211806	30kpacol	75
16	0.0148595500679906	-0.0284386132797466	0.0581577134157279	30kpacol	80
17	-0.0435634679616404	-0.0884126139132096	0.00128567798992871	30kpacol	85
18	0.0853266302837577	0.0340910287457727	0.136562231821743	30kpacol	90
19	0.0698711735380446	0.0146740884907266	0.125068258585363	30kpacol	95
20	-0.0183352082998744	-0.0785126250124156	0.0418422084126668	30kpacol	100
21	-0.0200157876568072	-0.091068579475574	0.0510370041619597	30kpacol	105
22	0.0364453897779832	-0.0457317363438798	0.118622515899846	30kpacol	110
23	0.0954215392182789	0.00506624940700845	0.185776829029549	30kpacol	115
24	-0.0366533089796308	-0.167479090680755	0.0941724727214931	30kpacol	120
1	1	1	1	30kpafn	5
2	0.0223945768775804	-0.0215366245524478	0.0663257783076087	30kpafn	10
3	0.067814836298303	0.0226626575590074	0.112967015037599	30kpafn	15
4	-0.0561938424777661	-0.100280807508153	-0.0121068774473793	30kpafn	20
5	0.0240278458553026	-0.0224559663141547	0.0705116580247599	30kpafn	25
6	-0.0472477264990939	-0.0940722903768373	-0.000423162621350545	30kpafn	30
7	0.0992559061445822	0.0529248132754322	0.145586999013732	30kpafn	35
8	0.102837550577595	0.0552595856266981	0.150415515528491	30kpafn	40
9	0.0723722658497402	0.0233233310630432	0.121421200636437	30kpafn	45
10	0.0773793205513723	0.0243588210945632	0.130399820008181	30kpafn	50
11	-0.0604513593181281	-0.113075707349579	-0.00782701128667727	30kpafn	55
12	-0.086845100489701	-0.143877855209177	-0.0298123457702248	30kpafn	60
13	-0.0441495749145462	-0.105685935964045	0.0173867861349523	30kpafn	65
14	0.0609407629331595	0.000263478582198072	0.121618047284121	30kpafn	70
15	0.0461037986596408	-0.0172301671861492	0.109437764505431	30kpafn	75
16	-0.00474475935577608	-0.0697773427645081	0.0602878240529559	30kpafn	80
17	-0.052257276212304	-0.123224605287811	0.0187100528632033	30kpafn	85
18	-0.0838070035073251	-0.160961771362523	-0.00665223565212768	30kpafn	90
19	0.0600935257493732	-0.0174008628595531	0.137587914358299	30kpafn	95
20	-0.0451170761147029	-0.131287153599563	0.041053001370157	30kpafn	100
21	0.189064608552549	0.0907705696648704	0.287358647440228	30kpafn	105
22	-0.0209101676692193	-0.132498576801096	0.0906782414626574	30kpafn	110
23	-0.295914329359003	-0.437844850800953	-0.153983807917053	30kpafn	115
24	-0.152213622840726	-0.340782902676521	0.0363556569950696	30kpafn	120
1	1	1	1	hacol	5
2	0.169286321003578	0.148533390804323	0.190039251202832	hacol	10
3	0.181651969290028	0.160854909345904	0.202449029234153	hacol	15
4	0.161112569227364	0.139601164202734	0.182623974251993	hacol	20
5	0.178498537246575	0.156574025376913	0.200423049116237	hacol	25
6	0.158174598606267	0.135785612335131	0.180563584877402	hacol	30
7	0.173506460448235	0.15038272870826	0.19663019218821	hacol	35
8	0.143879664451643	0.120427112908522	0.167332215994765	hacol	40
9	0.137155932529063	0.112890955066473	0.161420909991653	hacol	45
10	0.148057142687856	0.122494870272883	0.173619415102828	hacol	50
11	0.124081878647662	0.0977359845133267	0.150427772781998	hacol	55
12	0.0528744427070555	0.0251291155169513	0.0806197698971597	hacol	60
13	0.0939589657036178	0.065273119413102	0.122644811994134	hacol	65
14	0.0840229455402177	0.0535489104989172	0.114496980581518	hacol	70
15	0.0706827470245965	0.0392498473643412	0.102115646684852	hacol	75
16	-0.00975517168214414	-0.0438277508171314	0.0243174074528431	hacol	80
17	0.0195953322843545	-0.0164821536982904	0.0556728182669994	hacol	85
18	0.0718633511414426	0.0328161492487229	0.110910553034162	hacol	90
19	-0.00923874840390746	-0.0503702920177187	0.0318927952099037	hacol	95
20	0.0500608260797476	0.00402820684085244	0.0960934453186427	hacol	100
21	-0.0214376571979495	-0.073765193479363	0.030889879083464	hacol	105
22	-0.0119417121567012	-0.0708813920296153	0.0469979677162129	hacol	110
23	-0.00228187185577167	-0.0724562156405001	0.0678924719289568	hacol	115
24	0.273849824119817	0.167502646866129	0.380197001373505	hacol	120
1	1	1	1	hafn	5
2	0.0858320150070304	0.062095872074851	0.10956815793921	hafn	10
3	-0.000360150403424203	-0.0242877183230307	0.0235674175161823	hafn	15
4	0.0148945215141295	-0.00976140704760327	0.0395504500758622	hafn	20
5	0.0360787276398554	0.0107736377894091	0.0613838174903017	hafn	25
6	0.0853580463333817	0.059800977689904	0.110915114976859	hafn	30
7	0.0764748233864394	0.0500991495199942	0.102850497252885	hafn	35
8	0.0601409180706456	0.0320145460108389	0.0882672901304524	hafn	40
9	0.0458529454839617	0.0179479316233334	0.07375795934459	hafn	45
10	0.0225402349957681	-0.00639439162856698	0.0514748616201032	hafn	50
11	0.0237339484522481	-0.00588053181170067	0.0533484287161968	hafn	55
12	0.0979977277441054	0.0672559330395463	0.128739522448664	hafn	60
